customer_id,gender,age,city,signup_date,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,rating_date,delivery_status,total_value,customer_tenure_days
c5663,male,adult,peshawar,2024-01-14,o9663,2023-08-23,mcdonald's,burger,italian,5,1478.27,cash,38,2025-07-19,238,active,3,2024-10-14,cancelled,7391.35,552
c2831,male,adult,multan,2024-07-07,o6831,2023-08-23,kfc,burger,italian,3,956.04,wallet,24,2024-11-25,81,active,2,2025-08-21,delayed,2868.12,141
c1694,female,senior,peshawar,2023-09-05,o5694,2023-08-23,subway,pizza,dessert,4,231.3,card,27,2025-07-24,45,inactive,2,2025-06-29,delayed,925.2,688
c4339,other,senior,lahore,2023-12-29,o8339,2023-08-24,kfc,sandwich,dessert,1,1156.69,cash,35,2024-12-21,418,inactive,3,2025-03-06,cancelled,1156.69,358
c6543,other,adult,karachi,2023-09-28,o10543,2023-08-24,burger king,pizza,fast food,5,1213.62,cash,45,2024-10-10,418,inactive,4,2025-06-01,delivered,6068.099999999999,378
c6423,male,adult,lahore,2025-04-08,o10423,2023-08-24,mcdonald's,pasta,continental,5,672.91,wallet,31,2025-05-25,347,active,1,2025-03-04,cancelled,3364.5499999999997,47
c4621,male,adult,peshawar,2024-02-05,o8621,2023-08-24,pizza hut,pizza,chinese,2,271.74,cash,14,2025-05-01,429,active,2,2024-09-30,delivered,543.48,451
c5146,other,senior,karachi,2024-12-17,o9146,2023-08-24,kfc,pizza,dessert,5,596.96,wallet,1,2025-05-16,24,active,4,2024-10-27,delayed,2984.8,150
c3579,male,adult,karachi,2023-10-13,o7579,2023-08-24,pizza hut,pizza,continental,2,1443.25,cash,15,2025-02-23,270,inactive,3,2024-10-11,delayed,2886.5,499
c3914,male,teenager,islamabad,2023-11-29,o7914,2023-08-24,kfc,pizza,fast food,4,1140.76,wallet,23,2025-04-22,492,inactive,5,2025-04-19,delayed,4563.04,510
c5681,other,adult,islamabad,2024-11-25,o9681,2023-08-25,subway,pizza,continental,1,1285.18,cash,10,2025-04-09,196,inactive,2,2025-06-10,delayed,1285.18,135
c4975,female,teenager,karachi,2025-06-20,o8975,2023-08-25,burger king,burger,dessert,1,673.86,wallet,38,2025-07-07,439,inactive,2,2025-07-09,delivered,673.86,17
c2876,female,senior,islamabad,2024-12-30,o6876,2023-08-25,kfc,burger,chinese,2,330.93,cash,45,2025-07-17,455,active,2,2024-11-28,cancelled,661.86,199
c6144,other,teenager,peshawar,2024-08-05,o10144,2023-08-25,subway,pasta,fast food,2,991.17,wallet,6,2025-04-22,101,active,2,2025-03-27,cancelled,1982.34,260
c5092,female,adult,lahore,2023-10-05,o9092,2023-08-25,subway,pasta,chinese,1,1485.16,card,46,2025-04-24,171,inactive,3,2025-08-05,delayed,1485.16,567
c2747,female,adult,lahore,2024-08-30,o6747,2023-08-25,subway,sandwich,italian,2,802.12,wallet,22,2024-09-15,32,inactive,4,2025-06-11,cancelled,1604.24,16
c3406,female,teenager,lahore,2024-02-25,o7406,2023-08-25,pizza hut,sandwich,italian,1,1394.47,cash,13,2025-06-16,273,inactive,2,2025-07-20,delayed,1394.47,477
c2975,male,teenager,multan,2024-09-28,o6975,2023-08-25,pizza hut,pizza,italian,3,1287.69,wallet,49,2025-06-05,35,active,4,2024-11-10,delivered,3863.07,250
c2748,other,teenager,karachi,2024-07-07,o6748,2023-08-25,pizza hut,fries,dessert,2,1304.8,cash,2,2024-12-01,435,inactive,1,2024-11-29,cancelled,2609.6,147
c1929,female,teenager,peshawar,2023-11-27,o5929,2023-08-26,kfc,fries,continental,1,599.7,wallet,35,2025-06-26,172,active,4,2024-11-10,delayed,599.7,577
c6250,male,teenager,lahore,2024-06-29,o10250,2023-08-26,mcdonald's,pasta,chinese,5,576.33,card,7,2025-05-03,60,active,3,2025-06-03,cancelled,2881.65,308
c1351,female,adult,karachi,2024-06-16,o5351,2023-08-26,kfc,fries,chinese,3,761.47,card,3,2025-01-08,240,inactive,2,2024-11-29,delivered,2284.41,206
c5795,female,senior,islamabad,2023-11-07,o9795,2023-08-26,kfc,pizza,italian,5,1267.2,card,32,2024-11-10,72,active,5,2024-10-21,delayed,6336.0,369
c6362,female,senior,islamabad,2023-11-22,o10362,2023-08-26,burger king,pizza,chinese,4,343.52,card,34,2024-09-29,164,active,3,2025-01-25,delivered,1374.08,312
c4748,other,adult,peshawar,2024-03-10,o8748,2023-08-26,subway,sandwich,italian,5,909.48,wallet,3,2025-07-28,224,inactive,3,2025-05-25,cancelled,4547.4,505
